id,gene_short_name,n_cells,highly_variable,means,dispersions,dispersions_norm,spearmanr_recon
ENSG00000261780.2,AC105243.1,86781,True,0.7420601057818074,2.606783566060953,1.6555008,0.5430410521694735
ENSG00000226380.9,AC016831.1,93170,True,0.6512155325700268,2.5157862804502575,1.7825184,0.5416440346039942
ENSG00000227706.3,AL713998.1,85449,True,0.9856215010733275,3.0793376194931588,4.0964656,0.5391801110201038
ENSG00000165078.12,CPA6,91500,True,0.5806476579973718,2.52877138327765,1.8642627,0.5370296765428968
ENSG00000023171.16,GRAMD1B,88501,True,0.7545445153996622,2.673773496070848,2.0015354,0.5368426968918905
ENSG00000185567.6,AHNAK2,92778,True,0.6813957374516582,2.534232195767365,1.8986398,0.5363517304180836
ENSG00000234948.1,LINC01524,90148,True,0.6537621834966705,2.5379647070289075,1.9221368,0.534674463537423
ENSG00000224184.5,MIR3681HG,86138,True,0.9546849595390433,3.063110224650892,4.0126433,0.5320254868366389
ENSG00000138336.8,TET1,104013,True,0.7011344699315705,2.5297409743546733,1.8703665,0.5318443388978017
ENSG00000122870.11,BICC1,83479,True,0.7197593864928189,2.622565493228611,1.7370218,0.5263136593487711
ENSG00000154310.16,TNIK,110618,True,1.0127421784439279,3.011768073440734,3.747437,0.5237538212741772
ENSG00000169908.11,TM4SF1,85504,True,0.7143172792249272,2.6195093255404487,1.7212353,0.5234108398714394
ENSG00000132204.13,LINC00470,93343,True,0.8381076362048177,2.7169976587615006,2.2248087,0.5232821575368697
ENSG00000172159.15,FRMD3,95507,True,0.6473757361037974,2.4799564620106334,1.5569614,0.5232397232721036
ENSG00000145920.14,CPLX2,83551,True,0.6819186993878862,2.537076993539817,1.9165484,0.5232010978709905
ENSG00000182256.12,GABRG3,84177,True,0.8781741052188847,2.854250651238274,2.9337852,0.5230575538310628
ENSG00000215182.8,MUC5AC,86942,True,0.9594143864257565,3.329787030438444,5.3901553,0.5205461620457739
ENSG00000144057.15,ST6GAL2,78065,True,0.7065621081771093,2.6831134864406865,2.835882,0.5201929055616732
ENSG00000249069.7,LINC01033,86342,True,0.9603527138659005,3.048498525968986,3.9371672,0.5173894467232988
ENSG00000169432.14,SCN9A,94286,True,0.8597517220051026,2.90757332428942,3.209222,0.5170952790551876
ENSG00000152518.7,ZFP36L2,105293,True,0.6371607438431449,2.482026800635961,1.5699947,0.5143092451004275
ENSG00000169554.18,ZEB2,82234,True,0.8772401518628327,2.9236106277509326,3.2920623,0.514083668774352
ENSG00000105835.11,NAMPT,99012,True,0.6594200562399385,2.5100078859071977,1.746142,0.5131319957120587
ENSG00000223745.7,CCDC18-AS1,95331,True,0.6308087058912989,2.4928651654823186,1.6382247,0.5125427319809546
